dt, d, dm, hr, s, lat, lon
2020-07-26T06:17:39.573Z, Sun Jul 26 06:17:39 SGT 2020, 0.0, , , , 
2020-07-26T06:17:49.421Z, Sun Jul 26 06:17:49 SGT 2020, 0.0, 92.00800323486328, , , 
2020-07-26T06:17:50.381Z, Sun Jul 26 06:17:50 SGT 2020, 0.0, 92.00800323486328, , , 
2020-07-26T06:17:51.341Z, Sun Jul 26 06:17:51 SGT 2020, 0.0, 92.00800323486328, , , 
2020-07-26T06:17:52.301Z, Sun Jul 26 06:17:52 SGT 2020, 0.0, 92.20462799072266, , , 
2020-07-26T06:17:53.262Z, Sun Jul 26 06:17:53 SGT 2020, 0.0, 93.37483978271484, , , 
2020-07-26T06:17:54.218Z, Sun Jul 26 06:17:54 SGT 2020, 0.0, 93.37483978271484, , , 
2020-07-26T06:17:55.181Z, Sun Jul 26 06:17:55 SGT 2020, 0.0, 93.38621520996094, , , 
2020-07-26T06:17:56.142Z, Sun Jul 26 06:17:56 SGT 2020, 0.0, 93.4168701171875, , , 
2020-07-26T06:17:57.101Z, Sun Jul 26 06:17:57 SGT 2020, 0.0, 93.4622802734375, , , 
2020-07-26T06:17:58.059Z, Sun Jul 26 06:17:58 SGT 2020, 0.0, 94.6738052368164, , , 
2020-07-26T06:17:59.020Z, Sun Jul 26 06:17:59 SGT 2020, 0.0, 94.85417175292969, , , 
2020-07-26T06:17:59.976Z, Sun Jul 26 06:17:59 SGT 2020, 0.0, 94.85417175292969, , , 
2020-07-26T06:18:00.937Z, Sun Jul 26 06:18:00 SGT 2020, 0.0, 94.39400482177734, , , 
2020-07-26T06:18:01.898Z, Sun Jul 26 06:18:01 SGT 2020, 0.0, 94.47998809814453, , , 
2020-07-26T06:18:02.856Z, Sun Jul 26 06:18:02 SGT 2020, 0.0, 94.49073791503906, , , 
2020-07-26T06:18:03.815Z, Sun Jul 26 06:18:03 SGT 2020, 0.0, 94.99208068847656, , , 
2020-07-26T06:18:04.772Z, Sun Jul 26 06:18:04 SGT 2020, 0.0, 94.9802474975586, , , 
2020-07-26T06:18:05.731Z, Sun Jul 26 06:18:05 SGT 2020, 0.0, 94.9802474975586, , , 
2020-07-26T06:18:06.690Z, Sun Jul 26 06:18:06 SGT 2020, 0.0, 94.88758087158203, , , 
2020-07-26T06:18:07.649Z, Sun Jul 26 06:18:07 SGT 2020, 0.0, 94.8759994506836, , , 
2020-07-26T06:18:08.607Z, Sun Jul 26 06:18:08 SGT 2020, 0.0, 93.74954986572266, , , 
2020-07-26T06:18:09.566Z, Sun Jul 26 06:18:09 SGT 2020, 0.0, 94.86564636230469, , , 
2020-07-26T06:18:10.529Z, Sun Jul 26 06:18:10 SGT 2020, 0.0, 94.86639404296875, , , 
2020-07-26T06:18:11.486Z, Sun Jul 26 06:18:11 SGT 2020, 0.0, 94.86639404296875, , , 
2020-07-26T06:18:13.403Z, Sun Jul 26 06:18:13 SGT 2020, 0.0, 94.91305541992188, , , 
2020-07-26T06:18:14.363Z, Sun Jul 26 06:18:14 SGT 2020, 0.0, 94.9136962890625, , , 
2020-07-26T06:18:15.323Z, Sun Jul 26 06:18:15 SGT 2020, 0.0, 93.9782485961914, , , 
2020-07-26T06:18:16.281Z, Sun Jul 26 06:18:16 SGT 2020, 0.0, 95.16487121582031, , , 
2020-07-26T06:18:17.238Z, Sun Jul 26 06:18:17 SGT 2020, 0.0, 95.16487121582031, , , 
2020-07-26T06:18:18.199Z, Sun Jul 26 06:18:18 SGT 2020, 0.0, 95.25885772705078, , , 
2020-07-26T06:18:19.203Z, Sun Jul 26 06:18:19 SGT 2020, 0.0, 95.29136657714844, , , 
2020-07-26T06:18:20.120Z, Sun Jul 26 06:18:20 SGT 2020, 0.0, 95.44480895996094, , , 
2020-07-26T06:18:21.010Z, Sun Jul 26 06:18:21 SGT 2020, 0.0, , , 1.25459619, 103.81309346
2020-07-26T06:18:21.084Z, Sun Jul 26 06:18:21 SGT 2020, 3.679464101791382, 95.53758239746094, 0.3230748967426579, , 
2020-07-26T06:18:22.036Z, Sun Jul 26 06:18:22 SGT 2020, 3.679464101791382, 97.11565399169922, , , 
2020-07-26T06:18:22.996Z, Sun Jul 26 06:18:22 SGT 2020, 3.679464101791382, 97.11565399169922, , , 
2020-07-26T06:18:23.046Z, Sun Jul 26 06:18:23 SGT 2020, 3.679464101791382, , , 1.25460825, 103.81308833
2020-07-26T06:18:23.954Z, Sun Jul 26 06:18:23 SGT 2020, 3.679464101791382, 97.31291198730469, , , 
2020-07-26T06:18:24.914Z, Sun Jul 26 06:18:24 SGT 2020, 3.679464101791382, 97.38680267333984, , , 
2020-07-26T06:18:25.010Z, Sun Jul 26 06:18:25 SGT 2020, 3.679464101791382, , , 1.25459718, 103.81307341
2020-07-26T06:18:25.872Z, Sun Jul 26 06:18:25 SGT 2020, 26.42729353904724, 97.39603424072266, 20.473046493530273, , 
2020-07-26T06:18:27.788Z, Sun Jul 26 06:18:27 SGT 2020, 26.42729353904724, 98.68634033203125, , , 
2020-07-26T06:18:28.746Z, Sun Jul 26 06:18:28 SGT 2020, 26.42729353904724, 98.68634033203125, , , 
2020-07-26T06:18:29.706Z, Sun Jul 26 06:18:29 SGT 2020, 26.42729353904724, 98.70426177978516, , , 
2020-07-26T06:18:30.662Z, Sun Jul 26 06:18:30 SGT 2020, 26.42729353904724, 98.30693817138672, , , 
2020-07-26T06:18:31.632Z, Sun Jul 26 06:18:31 SGT 2020, 26.42729353904724, 98.25727081298828, , , 
2020-07-26T06:18:32.580Z, Sun Jul 26 06:18:32 SGT 2020, 26.42729353904724, 98.25106048583984, , , 
2020-07-26T06:18:33.539Z, Sun Jul 26 06:18:33 SGT 2020, 26.42729353904724, 98.287841796875, , , 
2020-07-26T06:18:34.495Z, Sun Jul 26 06:18:34 SGT 2020, 26.42729353904724, 98.287841796875, , , 
2020-07-26T06:18:35.003Z, Sun Jul 26 06:18:35 SGT 2020, 26.42729353904724, , , 1.25461742, 103.81304429
2020-07-26T06:18:35.460Z, Sun Jul 26 06:18:35 SGT 2020, 26.42729353904724, 98.3301773071289, , , 
2020-07-26T06:18:36.411Z, Sun Jul 26 06:18:36 SGT 2020, 26.42729353904724, 98.37284851074219, , , 
2020-07-26T06:18:37.001Z, Sun Jul 26 06:18:37 SGT 2020, 26.42729353904724, , , 1.25460742, 103.81304145
2020-07-26T06:18:37.372Z, Sun Jul 26 06:18:37 SGT 2020, 26.42729353904724, 98.41516876220703, , , 
2020-07-26T06:18:38.326Z, Sun Jul 26 06:18:38 SGT 2020, 26.42729353904724, 98.45697021484375, , , 
2020-07-26T06:18:39.288Z, Sun Jul 26 06:18:39 SGT 2020, 26.42729353904724, 97.99822998046875, , , 
2020-07-26T06:18:40.243Z, Sun Jul 26 06:18:40 SGT 2020, 26.42729353904724, 97.99822998046875, , , 
2020-07-26T06:18:41.168Z, Sun Jul 26 06:18:41 SGT 2020, 26.42729353904724, , , 1.25461774, 103.81304995
2020-07-26T06:18:41.205Z, Sun Jul 26 06:18:41 SGT 2020, 26.42729353904724, 98.03898620605469, , , 
2020-07-26T06:18:42.164Z, Sun Jul 26 06:18:42 SGT 2020, 26.42729353904724, 98.07920837402344, , , 
2020-07-26T06:18:43.090Z, Sun Jul 26 06:18:43 SGT 2020, 26.42729353904724, , , 1.25458961, 103.81308039
2020-07-26T06:18:43.123Z, Sun Jul 26 06:18:43 SGT 2020, 26.42729353904724, 98.11893463134766, , , 
2020-07-26T06:18:44.081Z, Sun Jul 26 06:18:44 SGT 2020, 26.42729353904724, 97.38226318359375, , , 
2020-07-26T06:18:45.091Z, Sun Jul 26 06:18:45 SGT 2020, 26.42729353904724, , , 1.25459238, 103.81309659
2020-07-26T06:18:46.957Z, Sun Jul 26 06:18:46 SGT 2020, 26.42729353904724, 100.20346069335938, , , 
2020-07-26T06:18:47.081Z, Sun Jul 26 06:18:47 SGT 2020, 26.42729353904724, , , 1.25460279, 103.81308496
2020-07-26T06:18:47.917Z, Sun Jul 26 06:18:47 SGT 2020, 26.42729353904724, 100.51612091064453, , , 
2020-07-26T06:18:48.878Z, Sun Jul 26 06:18:48 SGT 2020, 26.42729353904724, 101.18414306640625, , , 
2020-07-26T06:18:49.077Z, Sun Jul 26 06:18:49 SGT 2020, 26.42729353904724, , , 1.25460483, 103.8130637
2020-07-26T06:18:49.837Z, Sun Jul 26 06:18:49 SGT 2020, 26.42729353904724, 104.06546020507812, , , 
2020-07-26T06:18:50.797Z, Sun Jul 26 06:18:50 SGT 2020, 26.42729353904724, 105.90155029296875, , , 
2020-07-26T06:18:51.002Z, Sun Jul 26 06:18:51 SGT 2020, 26.42729353904724, , , 1.25460247, 103.8130547
2020-07-26T06:18:51.753Z, Sun Jul 26 06:18:51 SGT 2020, 26.42729353904724, 105.90155029296875, , , 
2020-07-26T06:18:52.708Z, Sun Jul 26 06:18:52 SGT 2020, 26.42729353904724, 106.38788604736328, , , 
2020-07-26T06:18:53.667Z, Sun Jul 26 06:18:53 SGT 2020, 26.42729353904724, 107.33241271972656, , , 
2020-07-26T06:18:54.624Z, Sun Jul 26 06:18:54 SGT 2020, 26.42729353904724, 109.4621810913086, , , 
2020-07-26T06:18:54.998Z, Sun Jul 26 06:18:54 SGT 2020, 26.42729353904724, , , 1.25461426, 103.81305598
2020-07-26T06:18:55.616Z, Sun Jul 26 06:18:55 SGT 2020, 26.42729353904724, 110.14964294433594, , , 
2020-07-26T06:18:56.542Z, Sun Jul 26 06:18:56 SGT 2020, 26.42729353904724, 111.08428192138672, , , 
2020-07-26T06:18:57.089Z, Sun Jul 26 06:18:57 SGT 2020, 26.42729353904724, , , 1.25461118, 103.81304469
2020-07-26T06:18:57.499Z, Sun Jul 26 06:18:57 SGT 2020, 26.42729353904724, 111.08428192138672, , , 
2020-07-26T06:18:58.458Z, Sun Jul 26 06:18:58 SGT 2020, 26.42729353904724, 112.16905975341797, , , 
2020-07-26T06:18:59.023Z, Sun Jul 26 06:18:59 SGT 2020, 26.42729353904724, , , 1.25460349, 103.81302548
2020-07-26T06:18:59.414Z, Sun Jul 26 06:18:59 SGT 2020, 65.87671065330505, 112.91011810302734, 4.303572776100853, , 
2020-07-26T06:19:00.371Z, Sun Jul 26 06:19:00 SGT 2020, 65.87671065330505, 111.50492858886719, , , 
2020-07-26T06:19:01.055Z, Sun Jul 26 06:19:01 SGT 2020, 65.87671065330505, , , 1.2545892, 103.81300237
2020-07-26T06:19:01.333Z, Sun Jul 26 06:19:01 SGT 2020, 65.87671065330505, 111.51678466796875, , , 
2020-07-26T06:19:02.295Z, Sun Jul 26 06:19:02 SGT 2020, 65.87671065330505, 111.51826477050781, , , 
2020-07-26T06:19:03.104Z, Sun Jul 26 06:19:03 SGT 2020, 65.87671065330505, , , 1.25458336, 103.81298943
2020-07-26T06:19:03.247Z, Sun Jul 26 06:19:03 SGT 2020, 65.87671065330505, 111.51826477050781, , , 
2020-07-26T06:19:04.209Z, Sun Jul 26 06:19:04 SGT 2020, 65.87671065330505, 111.51934814453125, , , 
2020-07-26T06:19:05.080Z, Sun Jul 26 06:19:05 SGT 2020, 65.87671065330505, , , 1.25458167, 103.8129632
2020-07-26T06:19:05.171Z, Sun Jul 26 06:19:05 SGT 2020, 65.87671065330505, 112.42691802978516, , , 
2020-07-26T06:19:06.133Z, Sun Jul 26 06:19:06 SGT 2020, 65.87671065330505, 112.460693359375, , , 
2020-07-26T06:19:07.080Z, Sun Jul 26 06:19:07 SGT 2020, 65.87671065330505, 112.46918487548828, , , 
2020-07-26T06:19:08.042Z, Sun Jul 26 06:19:08 SGT 2020, 65.87671065330505, 112.9805679321289, , , 
2020-07-26T06:19:08.997Z, Sun Jul 26 06:19:08 SGT 2020, 65.87671065330505, 112.9805679321289, , , 
2020-07-26T06:19:09.088Z, Sun Jul 26 06:19:09 SGT 2020, 65.87671065330505, , , 1.25458084, 103.81295313
2020-07-26T06:19:09.955Z, Sun Jul 26 06:19:09 SGT 2020, 65.87671065330505, 113.87197875976562, , , 
2020-07-26T06:19:10.916Z, Sun Jul 26 06:19:10 SGT 2020, 65.87671065330505, 113.98473358154297, , , 
2020-07-26T06:19:11.090Z, Sun Jul 26 06:19:11 SGT 2020, 65.87671065330505, , , 1.25457118, 103.812942
2020-07-26T06:19:11.877Z, Sun Jul 26 06:19:11 SGT 2020, 65.87671065330505, 114.90592193603516, , , 
2020-07-26T06:19:12.832Z, Sun Jul 26 06:19:12 SGT 2020, 65.87671065330505, 114.98934173583984, , , 
2020-07-26T06:19:13.094Z, Sun Jul 26 06:19:13 SGT 2020, 65.87671065330505, , , 1.25454177, 103.81291254
2020-07-26T06:19:13.793Z, Sun Jul 26 06:19:13 SGT 2020, 65.87671065330505, 115.0802993774414, , , 
